GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
authentication-server,com.stackroute.authenticationserver.controller,JwtAuthenticationController,63,3,0,0,15,1,3,1,3,1
authentication-server,com.stackroute.authenticationserver.service,JwtUserDetailsService,54,3,4,0,8,1,4,1,2,1
authentication-server,com.stackroute.authenticationserver.service,RestaurantRabbitService,78,3,0,0,12,1,3,1,3,1
authentication-server,com.stackroute.authenticationserver.service,UserServiceImpl,5,6,0,0,1,3,1,1,1,1
authentication-server,com.stackroute.authenticationserver.model,JwtRequest,26,0,0,0,12,0,6,0,6,0
authentication-server,com.stackroute.authenticationserver.model,JwtResponse,15,0,0,0,6,0,3,0,3,0
authentication-server,com.stackroute.authenticationserver.model,CheckResponse.CheckResponseBuilder,26,0,0,0,1,0,4,0,4,0
authentication-server,com.stackroute.authenticationserver.model,User,185,0,30,0,7,0,28,0,13,0
authentication-server,com.stackroute.authenticationserver.model,User.UserBuilder,50,0,0,0,1,0,6,0,6,0
authentication-server,com.stackroute.authenticationserver.model,CheckResponse,93,0,14,0,5,0,16,0,9,0
authentication-server,com.stackroute.authenticationserver,AuthenticationServerApplication,5,3,0,0,2,1,1,1,1,1
authentication-server,com.stackroute.authenticationserver.config,JwtRequestFilter,80,3,10,0,22,1,6,1,1,1
authentication-server,com.stackroute.authenticationserver.config,JwtTokenUtil,92,3,4,0,14,1,10,1,8,1
authentication-server,com.stackroute.authenticationserver.config,WebSecurityConfig,0,58,0,0,0,12,0,5,0,5
authentication-server,com.stackroute.authenticationserver.config,RabbitMqConfig,0,120,0,0,0,25,0,12,0,12
authentication-server,com.stackroute.authenticationserver.config,JwtAuthenticationEntryPoint,5,3,0,0,2,1,1,1,1,1
authentication-server,com.stackroute.rabbitmq.model,DeliveryBoyMQ.DeliveryBoyMQBuilder,122,0,0,0,1,0,12,0,12,0
authentication-server,com.stackroute.rabbitmq.model,CharityMQ.CharityMQBuilder,146,0,0,0,1,0,14,0,14,0
authentication-server,com.stackroute.rabbitmq.model,RestaurantMQ,498,0,80,0,14,0,67,0,27,0
authentication-server,com.stackroute.rabbitmq.model,Users.UsersBuilder,50,0,0,0,1,0,6,0,6,0
authentication-server,com.stackroute.rabbitmq.model,CharityMQ,535,0,82,0,15,0,70,0,29,0
authentication-server,com.stackroute.rabbitmq.model,Users,185,0,30,0,7,0,28,0,13,0
authentication-server,com.stackroute.rabbitmq.model,DeliveryBoyMQ,452,0,72,0,13,0,61,0,25,0
authentication-server,com.stackroute.rabbitmq.model,RestaurantMQ.RestaurantMQBuilder,134,0,0,0,1,0,13,0,13,0
