GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
charity-logs-server,com.stackroute.service,RabbitService,174,3,4,0,41,1,3,1,1,1
charity-logs-server,com.stackroute.service,CharityServiceImpl,41,3,2,0,7,1,6,1,5,1
charity-logs-server,com.stackroute.domain,CharityLiveStatus,135,0,22,0,13,0,21,0,10,0
charity-logs-server,com.stackroute.domain,CharitySeed,228,3,38,0,7,1,33,1,14,1
charity-logs-server,com.stackroute.domain,Logs,210,0,32,0,15,0,30,0,14,0
charity-logs-server,com.stackroute.domain,CharitySeed.CharitySeedBuilder,62,0,0,0,1,0,7,0,7,0
charity-logs-server,com.stackroute.domain,Charity,135,0,22,0,9,0,21,0,10,0
charity-logs-server,com.stackroute.SeedData,CharitySeedData,116,11,2,0,14,5,1,2,0,2
charity-logs-server,com.stackroute.controller,CharityController,33,6,0,0,5,3,3,1,3,1
charity-logs-server,com.stackroute.rabbitmq.model,CharityStatus,227,0,38,0,15,0,33,0,14,0
charity-logs-server,com.stackroute.rabbitmq.model,CharityStatusList,89,0,14,0,9,0,15,0,8,0
charity-logs-server,com.stackroute,CharityServerApplication,5,3,0,0,2,1,1,1,1,1
charity-logs-server,com.stackroute.config,CharityLogRabbitMQConfig,11,39,0,0,3,8,1,5,1,5
