GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
deliveryBoy-logs-service,com.stackroute.service,DeliveryBoyServiceImpl,41,3,2,0,7,1,6,1,5,1
deliveryBoy-logs-service,com.stackroute.service,RabbitService,226,3,8,0,49,1,5,1,1,1
deliveryBoy-logs-service,com.stackroute.domain,DeliveryBoy,135,0,22,0,9,0,21,0,10,0
deliveryBoy-logs-service,com.stackroute.domain,RestaurantSave,227,0,38,0,21,0,33,0,14,0
deliveryBoy-logs-service,com.stackroute.domain,Logs,227,0,38,0,15,0,33,0,14,0
deliveryBoy-logs-service,com.stackroute.domain,CharitySave,227,0,38,0,21,0,33,0,14,0
deliveryBoy-logs-service,com.stackroute.domain,Restaurant,273,0,46,0,25,0,39,0,16,0
deliveryBoy-logs-service,com.stackroute.domain,Charity,311,0,48,0,29,0,42,0,18,0
deliveryBoy-logs-service,com.stackroute.domain,DeliveryBoyLiveStatus,135,0,22,0,12,0,21,0,10,0
deliveryBoy-logs-service,com.stackroute.controller,DeliveryBoyController,33,6,0,0,5,3,3,1,3,1
deliveryBoy-logs-service,com.stackroute.rabbitmq.model,Charity,311,0,48,0,29,0,42,0,18,0
deliveryBoy-logs-service,com.stackroute.rabbitmq.model,Restaurant,273,0,46,0,25,0,39,0,16,0
deliveryBoy-logs-service,com.stackroute.rabbitmq.model,DeliveryBoyStatus,274,0,46,0,25,0,39,0,16,0
deliveryBoy-logs-service,com.stackroute.rabbitmq.model,DeliveryBoyList,16,0,0,0,8,0,4,0,4,0
deliveryBoy-logs-service,com.stackroute,DeliveryBoyLogsApplication,5,3,0,0,2,1,1,1,1,1
deliveryBoy-logs-service,com.stackroute.config,RabbitMQConfig,11,39,0,0,3,8,1,5,1,5
