GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
registration-server,com.stackroute.registrationserver.service,DeliveryBoyServiceImpl,71,6,2,0,9,3,4,1,3,1
registration-server,com.stackroute.registrationserver.service,RestaurantServiceImpl,76,6,2,0,10,3,5,1,4,1
registration-server,com.stackroute.registrationserver.service,RabbitService,258,3,0,0,24,1,6,1,6,1
registration-server,com.stackroute.registrationserver.service,CharityServiceImpl,81,6,2,0,10,3,5,1,4,1
registration-server,com.stackroute.registrationserver.seedData,CharitySeedData,167,11,2,0,21,5,1,2,0,2
registration-server,com.stackroute.registrationserver.seedData,RestaurantSeedData,129,11,2,0,18,5,1,2,0,2
registration-server,com.stackroute.registrationserver.domain,DeliveryBoys.DeliveryBoysBuilder,122,0,0,0,1,0,12,0,12,0
registration-server,com.stackroute.registrationserver.domain,DeliveryBoyProfile.DeliveryBoyProfileBuilder,110,0,0,0,1,0,11,0,11,0
registration-server,com.stackroute.registrationserver.domain,DeliveryBoyProfile,415,0,70,0,12,0,58,0,23,0
registration-server,com.stackroute.registrationserver.domain,RestaurantProfile,452,0,72,0,13,0,61,0,25,0
registration-server,com.stackroute.registrationserver.domain,DeliveryBoys,452,0,72,0,13,0,61,0,25,0
registration-server,com.stackroute.registrationserver.domain,Restaurants.RestaurantsBuilder,134,0,0,0,1,0,13,0,13,0
registration-server,com.stackroute.registrationserver.domain,CharityProfile.CharityProfileBuilder,134,0,0,0,1,0,13,0,13,0
registration-server,com.stackroute.registrationserver.domain,RestaurantProfile.RestaurantProfileBuilder,122,0,0,0,1,0,12,0,12,0
registration-server,com.stackroute.registrationserver.domain,Restaurants,495,3,80,0,13,1,66,1,26,1
registration-server,com.stackroute.registrationserver.domain,Charities.CharitiesBuilder,146,0,0,0,1,0,14,0,14,0
registration-server,com.stackroute.registrationserver.domain,Charities,532,3,82,0,14,1,69,1,28,1
registration-server,com.stackroute.registrationserver.domain,CharityProfile,489,0,74,0,14,0,64,0,27,0
registration-server,com.stackroute.registrationserver.controller,RegistrationController,214,3,0,0,53,1,9,1,9,1
registration-server,com.stackroute.registrationserver.config,RabbitMqConfig,0,189,0,0,0,37,0,18,0,18
registration-server,com.stackroute.rabbitmq.model,DeliveryBoyMQ.DeliveryBoyMQBuilder,122,0,0,0,1,0,12,0,12,0
registration-server,com.stackroute.rabbitmq.model,CharityMQ.CharityMQBuilder,146,0,0,0,1,0,14,0,14,0
registration-server,com.stackroute.rabbitmq.model,DeliveryBoyMQ,452,0,72,0,13,0,61,0,25,0
registration-server,com.stackroute.rabbitmq.model,RestaurantMQ.RestaurantMQBuilder,134,0,0,0,1,0,13,0,13,0
registration-server,com.stackroute.rabbitmq.model,RestaurantMQ,498,0,80,0,14,0,67,0,27,0
registration-server,com.stackroute.rabbitmq.model,CharityMQ,535,0,82,0,15,0,70,0,29,0
registration-server,com.stackroute.registrationserver,RegistrationServerApplication,5,3,0,0,2,1,1,1,1,1
